#         mode #    freq (cm-1)     proj value
          44.00          164.00            0.50
          45.00          161.64           -0.44
          46.00          160.24            0.33
          43.00          173.11           -0.25
          53.00          145.56           -0.21
          50.00          152.31            0.20
          47.00          158.83           -0.19
          51.00          149.43            0.19
          55.00          143.84           -0.12
          42.00          178.55            0.11
          54.00          144.87           -0.10
          70.00          125.09            0.10
          37.00          195.35            0.08
          67.00          128.39            0.07
          38.00          193.72            0.06
          32.00          202.58           -0.06
          69.00          125.95            0.06
          63.00          133.41            0.06
         130.00           42.97           -0.06
         132.00            2.37           -0.06
          26.00          212.89            0.05
          24.00          222.63           -0.05
          40.00          183.11            0.05
          81.00          115.03           -0.05
          95.00          102.00            0.05
          39.00          185.55            0.05
           3.00          267.41           -0.04
         102.00           91.38            0.04
          31.00          203.96           -0.04
          56.00          142.62            0.04
          34.00          198.44            0.04
          73.00          120.57           -0.04
          17.00          240.57            0.04
          16.00          241.65           -0.04
          41.00          181.85           -0.04
          52.00          147.32           -0.04
          83.00          112.11            0.04
          64.00          132.62           -0.04
          59.00          138.22            0.04
          96.00          100.62           -0.03
          10.00          255.45           -0.03
           8.00          260.31           -0.03
         105.00           86.83            0.03
           9.00          258.53           -0.03
          61.00          136.01            0.03
          75.00          119.50            0.03
          85.00          111.22           -0.03
          25.00          217.37           -0.03
          57.00          140.73           -0.03
         124.00           57.11            0.03
          71.00          124.34            0.03
          21.00          226.46            0.03
          28.00          208.91           -0.03
           4.00          266.81            0.03
          77.00          117.31           -0.03
          49.00          154.94           -0.02
          74.00          120.31            0.02
          93.00          102.93           -0.02
          98.00           97.88            0.02
         133.00            2.99           -0.02
          91.00          104.74           -0.02
          68.00          127.20           -0.02
          94.00          102.44           -0.02
          48.00          156.11           -0.02
         115.00           71.87           -0.02
         114.00           74.62            0.02
          33.00          199.41            0.02
          20.00          228.81            0.02
           7.00          262.27            0.02
          78.00          116.78           -0.02
         109.00           81.85            0.02
          15.00          243.41           -0.02
         100.00           94.28           -0.02
         116.00           70.91           -0.02
           1.00          271.87            0.02
          27.00          211.55            0.02
          58.00          139.22            0.02
         126.00           51.65            0.01
           5.00          264.92            0.01
          19.00          234.96           -0.01
          35.00          197.60            0.01
          89.00          107.28            0.01
          92.00          103.71           -0.01
          18.00          236.33            0.01
          11.00          254.42            0.01
          60.00          137.28            0.01
          79.00          116.03           -0.01
          36.00          196.91           -0.01
          14.00          248.86           -0.01
          82.00          113.91           -0.01
         129.00           46.59           -0.01
           0.00          274.54            0.01
           6.00          263.16            0.01
         125.00           54.81            0.01
          80.00          115.44           -0.01
          66.00          130.41           -0.01
          23.00          224.76           -0.01
          87.00          109.08           -0.01
          65.00          131.49           -0.01
          62.00          135.31            0.01
          76.00          118.38           -0.01
          22.00          225.24           -0.01
          86.00          109.50            0.01
         106.00           85.45            0.01
         122.00           61.41           -0.01
         101.00           92.63            0.01
          12.00          252.85            0.01
         108.00           82.62           -0.01
         118.00           67.30           -0.01
          30.00          204.41           -0.01
         112.00           79.02            0.01
         119.00           66.31           -0.01
         117.00           70.43           -0.01
         103.00           90.55            0.01
         131.00           39.49            0.01
          90.00          105.75            0.01
         127.00           50.47            0.00
          84.00          111.64           -0.00
          13.00          251.43            0.00
           2.00          268.82            0.00
         120.00           64.12            0.00
         113.00           76.80            0.00
          72.00          122.33            0.00
         128.00           48.38           -0.00
         110.00           80.76           -0.00
         111.00           80.42            0.00
          88.00          108.25           -0.00
         123.00           58.97            0.00
         107.00           84.30           -0.00
          99.00           96.22           -0.00
          29.00          206.40            0.00
         121.00           61.78            0.00
         104.00           88.93            0.00
         134.00            4.05            0.00
          97.00           98.71            0.00
