#         mode #    freq (cm-1)     proj value
          48.00          158.02            0.87
          47.00          162.84            0.80
         138.00            1.87            0.70
          20.00          228.72            0.69
          39.00          193.01            0.69
          16.00          239.84            0.69
          17.00          236.56            0.67
          77.00          121.98            0.67
           0.00          276.65            0.67
          18.00          232.25            0.64
          15.00          243.19            0.64
         133.00           50.95            0.64
          97.00          105.64            0.64
          33.00          199.98            0.63
          61.00          137.87            0.62
          19.00          228.92            0.61
         105.00           98.41            0.60
           1.00          274.07            0.60
          37.00          194.12            0.59
          57.00          142.21            0.59
          52.00          152.14            0.58
          79.00          119.49            0.58
          83.00          116.81            0.57
          56.00          142.69            0.57
          25.00          213.99            0.57
          73.00          125.57            0.56
          54.00          150.54            0.56
          49.00          156.70            0.56
           3.00          269.75            0.56
          45.00          173.09            0.56
          87.00          114.27            0.56
          28.00          206.63            0.55
          29.00          206.15            0.55
           2.00          271.24            0.55
          68.00          133.42            0.55
          90.00          112.13            0.55
          84.00          115.53            0.54
          31.00          200.62            0.54
          93.00          110.83            0.54
          22.00          223.29            0.54
          59.00          140.00            0.53
          35.00          197.02            0.53
          67.00          133.46            0.53
          74.00          125.27            0.52
          71.00          127.77            0.52
         107.00           93.77            0.52
         135.00           47.87            0.52
          75.00          122.47            0.51
          51.00          153.72            0.51
          23.00          219.78            0.51
          64.00          136.54            0.51
          27.00          207.41            0.50
           9.00          261.84            0.50
          14.00          253.06            0.50
          24.00          216.23            0.49
          99.00          104.23            0.49
           6.00          265.94            0.49
          66.00          134.23            0.49
          70.00          130.68            0.48
          34.00          198.93            0.48
          78.00          120.57            0.48
         136.00           45.15            0.48
          80.00          118.94            0.48
          96.00          107.17            0.47
          40.00          190.69            0.47
          55.00          145.86            0.47
           4.00          269.06            0.46
         110.00           91.73            0.46
          86.00          114.62            0.46
          30.00          202.71            0.46
         139.00            2.64            0.45
         120.00           76.27            0.45
          65.00          135.34            0.45
          21.00          224.89            0.45
          92.00          111.03            0.44
          32.00          200.27            0.44
         137.00           43.50            0.44
         112.00           89.21            0.44
          50.00          155.06            0.44
          38.00          193.95            0.44
          94.00          110.34            0.44
          10.00          261.03            0.43
         101.00          101.77            0.43
          72.00          127.21            0.43
          98.00          104.98            0.43
          36.00          196.21            0.43
          95.00          107.83            0.43
          62.00          137.59            0.43
          63.00          136.76            0.43
          69.00          130.86            0.43
          12.00          260.55            0.43
         118.00           79.36            0.43
          76.00          122.17            0.43
         131.00           59.18            0.43
          81.00          118.82            0.43
           5.00          266.81            0.43
         126.00           64.93            0.42
         104.00           99.42            0.42
           7.00          265.05            0.42
          60.00          139.56            0.42
           8.00          264.28            0.41
          91.00          111.69            0.41
          89.00          112.86            0.41
          58.00          141.50            0.40
         127.00           63.45            0.40
         132.00           55.39            0.39
          11.00          261.01            0.39
         122.00           75.48            0.39
          88.00          113.10            0.39
         116.00           81.82            0.38
          46.00          163.72            0.37
          26.00          212.27            0.37
         114.00           84.23            0.37
         129.00           59.99            0.37
          53.00          151.51            0.37
          42.00          180.44            0.36
         125.00           67.74            0.36
          82.00          117.76            0.36
         109.00           92.18            0.34
         100.00          103.20            0.34
          85.00          115.20            0.33
         124.00           72.50            0.32
         130.00           59.74            0.32
         117.00           80.43            0.32
          44.00          173.75            0.32
         103.00           99.67            0.32
          43.00          176.30            0.31
          41.00          189.51            0.30
         113.00           88.19            0.30
         121.00           75.59            0.28
         123.00           72.58            0.27
          13.00          253.82            0.27
         115.00           83.65            0.27
         128.00           62.05            0.25
         102.00          101.03            0.25
         119.00           79.07            0.24
         108.00           92.57            0.24
         111.00           90.62            0.22
         106.00           97.19            0.20
         134.00           50.67            0.12
         140.00            3.33            0.01
