#         mode #    freq (cm-1)     proj value
          47.00          162.84            0.93
          20.00          228.72            0.82
         133.00           50.95            0.82
          48.00          158.02            0.79
          15.00          243.19            0.74
          16.00          239.84            0.73
          49.00          156.70            0.71
          35.00          197.02            0.68
          18.00          232.25            0.68
          33.00          199.98            0.67
          19.00          228.92            0.66
          17.00          236.56            0.65
          61.00          137.87            0.65
          56.00          142.69            0.64
          59.00          140.00            0.64
         139.00            2.64            0.64
          37.00          194.12            0.62
          68.00          133.42            0.62
          25.00          213.99            0.62
          57.00          142.21            0.61
          31.00          200.62            0.61
          39.00          193.01            0.60
          29.00          206.15            0.60
          84.00          115.53            0.60
          54.00          150.54            0.59
         138.00            1.87            0.59
          97.00          105.64            0.58
           3.00          269.75            0.58
          22.00          223.29            0.57
          74.00          125.27            0.57
          52.00          152.14            0.57
          34.00          198.93            0.56
           0.00          276.65            0.56
          45.00          173.09            0.56
          66.00          134.23            0.55
          99.00          104.23            0.55
           2.00          271.24            0.55
          87.00          114.27            0.54
         105.00           98.41            0.54
          51.00          153.72            0.54
          64.00          136.54            0.54
          40.00          190.69            0.54
         129.00           59.99            0.53
          67.00          133.46            0.53
          70.00          130.68            0.52
          71.00          127.77            0.52
          73.00          125.57            0.52
          28.00          206.63            0.52
           9.00          261.84            0.52
          69.00          130.86            0.52
          32.00          200.27            0.52
          21.00          224.89            0.51
         127.00           63.45            0.51
          90.00          112.13            0.51
          50.00          155.06            0.51
          77.00          121.98            0.51
          23.00          219.78            0.50
           1.00          274.07            0.50
          14.00          253.06            0.49
          83.00          116.81            0.49
          80.00          118.94            0.49
          91.00          111.69            0.49
          75.00          122.47            0.49
         131.00           59.18            0.48
          26.00          212.27            0.48
          27.00          207.41            0.47
          38.00          193.95            0.47
          62.00          137.59            0.47
         118.00           79.36            0.47
           6.00          265.94            0.47
          63.00          136.76            0.46
          55.00          145.86            0.46
          12.00          260.55            0.46
          92.00          111.03            0.46
          65.00          135.34            0.46
          36.00          196.21            0.46
          30.00          202.71            0.45
          79.00          119.49            0.45
          93.00          110.83            0.45
           5.00          266.81            0.45
          89.00          112.86            0.45
          11.00          261.01            0.45
         130.00           59.74            0.44
         107.00           93.77            0.44
          58.00          141.50            0.44
          53.00          151.51            0.44
          60.00          139.56            0.43
          94.00          110.34            0.43
           7.00          265.05            0.43
          46.00          163.72            0.43
         135.00           47.87            0.43
         132.00           55.39            0.43
         116.00           81.82            0.42
           4.00          269.06            0.42
          10.00          261.03            0.42
         101.00          101.77            0.42
         110.00           91.73            0.41
         117.00           80.43            0.41
          86.00          114.62            0.41
          24.00          216.23            0.41
         120.00           76.27            0.40
          95.00          107.83            0.40
          96.00          107.17            0.40
         112.00           89.21            0.39
         136.00           45.15            0.38
          72.00          127.21            0.38
         122.00           75.48            0.38
          44.00          173.75            0.37
          42.00          180.44            0.37
           8.00          264.28            0.37
          88.00          113.10            0.37
         104.00           99.42            0.36
          98.00          104.98            0.36
         114.00           84.23            0.36
          43.00          176.30            0.36
          78.00          120.57            0.35
          81.00          118.82            0.35
          82.00          117.76            0.34
         137.00           43.50            0.34
         126.00           64.93            0.33
          76.00          122.17            0.33
         121.00           75.59            0.32
         100.00          103.20            0.32
          13.00          253.82            0.29
         119.00           79.07            0.29
         103.00           99.67            0.29
         128.00           62.05            0.29
         125.00           67.74            0.29
         115.00           83.65            0.29
          41.00          189.51            0.28
          85.00          115.20            0.28
         109.00           92.18            0.28
         113.00           88.19            0.27
         124.00           72.50            0.26
         111.00           90.62            0.26
         123.00           72.58            0.24
         102.00          101.03            0.23
         108.00           92.57            0.22
         106.00           97.19            0.16
         134.00           50.67            0.14
         140.00            3.33            0.01
